t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5.0,17.0,0.0,,,,
5.833,1.0,0.0,,,,
6.667,37.0,0.0,,,,
7.5,49.0,0.0,,,,
8.333,60.0,0.0,,,,
9.167,73.0,0.0,,,,
,,,,,,
,,,,,,
11.667,110.0,0.1,,,,
,,,,,,
13.333,136.0,0.1,,,,
,,,,,,
15.0,163.0,0.2,,,,
,,,,,,
,,,,,,
17.5,204.0,0.3,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22.5,293.0,0.7,,,,
,,,,,,
,,,,,,
,,,,,,
25.833,356.0,1.0,,,,
26.667,372.0,1.1,,,,
27.5,387.0,1.1,,,,
,,,,,,
29.167,422.0,1.3,13.983,,,
30.0,439.0,1.5,14.361,,,
,,,,,,
31.667,475.0,1.7,15.116,,,
,,,,,,
,,,,,,
34.167,529.0,2.0,14.716,,,
35.0,548.0,2.1,14.871,,,
35.833,567.0,2.3,15.049,,,
,,,,,,
,,,,,,
,,,,,,
39.167,642.0,2.8,15.176,,,
,,,,,,
40.833,683.0,3.1,15.357,,,
41.667,705.0,3.3,15.556,,,
,,,,,,
,,,,,,
44.167,767.0,3.8,15.714,,,
,,,,,,
,,,,,,
46.667,828.0,4.3,15.862,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54.167,931.0,6.1,15.785,,,
55.0,943.0,6.3,15.701,,,
,,,,,,
56.667,966.0,6.7,15.6,,,
,,,,,,
,,,,,,
59.167,1004.0,7.4,15.546,,,
,,,,,,
60.833,1031.0,7.8,15.456,,,
61.667,1044.0,8.1,15.365,,,
62.5,1058.0,8.3,15.275,,,
63.333,1073.0,8.6,15.207,,,
,,,,,,
65.0,1101.0,9.0,15.094,,,
65.833,1117.0,9.3,15.026,,,
66.667,1132.0,9.5,14.941,,,
67.5,1147.0,9.8,14.817,,,
68.333,1162.0,10.0,14.66,,,
69.167,1177.0,10.3,14.533,,,
70.0,1193.0,10.6,14.436,,,
70.833,1207.0,10.8,14.491,,,
71.667,1223.0,11.1,14.579,,,
72.5,1238.0,11.4,14.656,,,
73.333,1255.0,11.6,14.751,,,
74.167,1275.0,11.9,14.894,,,
75.0,1300.0,12.2,15.161,,,
75.833,1328.0,12.5,15.471,,,
76.667,1356.0,12.8,15.758,,,
77.5,1387.0,13.1,16.136,,,
78.333,1416.0,13.4,16.424,,,
79.167,1448.0,13.7,16.8,,,
80.0,1479.0,14.0,17.155,,,
80.833,1511.0,14.4,17.532,,,
,,,,,,
82.5,1577.0,15.1,17.931,,,
83.333,1611.0,15.5,18.331,,,
84.167,1646.0,15.8,18.795,,,
85.0,1681.0,16.1,19.216,,,
85.833,1715.0,16.5,19.637,,,
86.667,1750.0,16.9,20.036,,,
87.5,1785.0,17.3,20.369,,,
88.333,1822.0,17.7,20.634,,,
89.167,1858.0,18.1,20.81,,,
,,,,,,
90.833,1933.0,18.9,21.02,,,
91.667,1970.0,19.3,21.151,,,
,,,,,,
,,,,,,
94.167,2087.0,20.7,21.371,,,
,,,,,,
