t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15.833,3.0,-0.0,,,,
16.667,2.0,-0.0,,,,
17.5,3.0,-0.0,,,,
18.333,17.0,-0.0,,,,
19.167,27.0,-0.0,,,,
20.0,38.0,0.0,,,,
,,,,,,
21.667,61.0,0.0,,,,
22.5,74.0,0.0,,,,
23.333,87.0,0.0,,,,
24.167,100.0,0.0,,,,
,,,,,,
25.833,126.0,0.1,,,,
26.667,140.0,0.1,,,,
,,,,,,
28.333,167.0,0.2,,,,
,,,,,,
30.0,193.0,0.3,,,,
30.833,208.0,0.3,11.528,,,
31.667,223.0,0.4,11.694,,,
32.5,237.0,0.4,11.861,,,
33.333,251.0,0.5,12.005,,,
34.167,266.0,0.5,12.016,,,
35.0,282.0,0.6,12.083,,,
35.833,297.0,0.7,12.127,,,
36.667,313.0,0.8,12.177,,,
37.5,329.0,0.8,12.21,,,
38.333,345.0,0.9,12.243,,,
39.167,362.0,1.0,12.287,,,
40.0,378.0,1.1,12.32,,,
40.833,395.0,1.2,12.354,,,
41.667,411.0,1.3,12.381,,,
42.5,428.0,1.4,12.425,,,
43.333,445.0,1.5,12.447,,,
44.167,462.0,1.6,12.469,,,
45.0,481.0,1.7,12.525,,,
45.833,499.0,1.8,12.569,,,
46.667,517.0,1.9,12.602,,,
47.5,536.0,2.0,12.635,,,
48.333,555.0,2.2,12.679,,,
49.167,573.0,2.3,12.701,,,
50.0,592.0,2.4,12.734,,,
50.833,611.0,2.6,12.767,,,
51.667,631.0,2.7,12.8,,,
52.5,651.0,2.8,12.843,,,
53.333,671.0,3.0,12.876,,,
54.167,692.0,3.2,12.932,,,
55.0,713.0,3.3,12.975,,,
55.833,732.0,3.5,12.997,,,
56.667,756.0,3.7,13.075,,,
57.5,776.0,3.8,13.085,,,
58.333,799.0,4.0,13.14,,,
59.167,821.0,4.2,13.184,,,
60.0,843.0,4.4,13.217,,,
60.833,862.0,4.6,13.217,,,
61.667,883.0,4.8,13.249,,,
,,,,,,
63.333,917.0,5.2,13.227,,,
64.167,932.0,5.4,13.181,,,
65.0,947.0,5.6,13.125,,,
65.833,960.0,5.8,13.047,,,
66.667,972.0,6.1,12.957,,,
67.5,987.0,6.3,12.89,,,
,,,,,,
69.167,1028.0,6.8,12.884,,,
70.0,1052.0,7.0,12.939,,,
70.833,1077.0,7.2,12.949,,,
71.667,1103.0,7.5,13.015,,,
72.5,1129.0,7.7,13.047,,,
73.333,1153.0,7.9,13.068,,,
74.167,1180.0,8.2,13.123,,,
75.0,1207.0,8.5,13.211,,,
,,,,,,
76.667,1258.0,9.0,13.26,,,
,,,,,,
78.333,1312.0,9.6,13.37,,,
,,,,,,
80.0,1369.0,10.2,13.519,,,
80.833,1396.0,10.5,13.651,,,
81.667,1423.0,10.8,13.806,,,
82.5,1451.0,11.1,13.982,,,
83.333,1481.0,11.5,14.148,,,
84.167,1509.0,11.8,14.23,,,
