t,v1,h1,a1,v2,h2,a2
0.5,0.0,0.1,,,,
1.0,0.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
3.0,4.0,0.1,,,,
,,,,,,
4.0,15.0,0.1,,,,
,,,,,,
,,,,,,
5.5,20.0,0.1,,,,
6.0,27.0,0.1,,,,
6.5,32.0,0.1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10.0,84.0,0.2,,,,
10.5,93.0,0.2,,,,
11.0,101.0,0.2,,,,
11.5,109.0,0.2,,,,
12.0,116.0,0.2,,,,
12.5,125.0,0.2,,,,
,,,,,,
,,,,,,
14.0,150.0,0.3,,,,
14.5,158.0,0.3,12.962,,,
15.0,167.0,0.3,13.295,,,
,,,,,,
16.0,184.0,0.4,13.61,,,
16.5,192.0,0.4,13.869,,,
17.0,200.0,0.4,13.962,,,
,,,,,,
18.0,218.0,0.5,14.233,,,
18.5,227.0,0.5,14.307,,,
,,,,,,
19.5,247.0,0.6,14.492,,,
20.0,255.0,0.6,14.513,,,
,,,,,,
21.0,274.0,0.7,14.532,,,
,,,,,,
22.0,292.0,0.8,14.569,,,
22.5,302.0,0.8,14.642,,,
,,,,,,
23.5,322.0,0.9,14.753,,,
,,,,,,
24.5,341.0,1.0,14.772,,,
,,,,,,
25.5,361.0,1.1,14.833,,,
,,,,,,
26.5,381.0,1.2,14.907,,,
27.0,391.0,1.3,14.944,,,
27.5,402.0,1.3,15.036,,,
28.0,411.0,1.4,15.073,,,
28.5,422.0,1.4,15.184,,,
29.0,433.0,1.5,15.258,,,
29.5,443.0,1.6,15.295,,,
30.0,454.0,1.6,15.331,,,
30.5,465.0,1.7,15.442,,,
31.0,476.0,1.8,15.498,,,
31.5,487.0,1.8,15.571,,,
32.0,497.0,1.9,15.571,,,
32.5,508.0,2.0,15.608,,,
33.0,519.0,2.0,15.663,,,
33.5,531.0,2.1,15.737,,,
34.0,542.0,2.2,15.774,,,
34.5,553.0,2.3,15.811,,,
35.0,565.0,2.4,15.848,,,
35.5,577.0,2.4,15.958,,,
36.0,589.0,2.5,15.995,,,
36.5,601.0,2.6,16.032,,,
37.0,614.0,2.7,16.143,,,
37.5,625.0,2.8,16.143,,,
,,,,,,
38.5,649.0,3.0,16.18,,,
39.0,661.0,3.0,16.216,,,
39.5,673.0,3.1,16.253,,,
40.0,686.0,3.2,16.364,,,
40.5,697.0,3.3,16.364,,,
41.0,711.0,3.4,16.475,,,
41.5,724.0,3.5,16.511,,,
42.0,736.0,3.6,16.548,,,
,,,,,,
43.0,763.0,3.8,16.64,,,
43.5,777.0,3.9,16.714,,,
44.0,789.0,4.0,16.714,,,
44.5,803.0,4.1,16.788,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48.5,865.0,5.0,16.63,,,
,,,,,,
49.5,879.0,5.2,16.407,,,
50.0,886.0,5.4,16.258,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52.5,921.0,6.0,16.072,,,
53.0,929.0,6.1,15.923,,,
,,,,,,
54.0,944.0,6.4,15.756,,,
,,,,,,
,,,,,,
55.5,967.0,6.7,15.557,,,
,,,,,,
56.5,983.0,7.0,15.446,,,
,,,,,,
57.5,1000.0,7.3,15.241,,,
58.0,1008.0,7.4,15.055,,,
58.5,1016.0,7.5,14.905,,,
59.0,1024.0,7.6,14.7,,,
59.5,1033.0,7.8,14.515,,,
60.0,1041.0,7.9,14.365,,,
60.5,1050.0,8.0,14.179,,,
61.0,1059.0,8.2,14.225,,,
61.5,1069.0,8.4,14.335,,,
62.0,1077.0,8.5,14.371,,,
,,,,,,
63.0,1096.0,8.7,14.463,,,
,,,,,,
64.0,1120.0,9.0,14.611,,,
64.5,1134.0,9.2,14.851,,,
,,,,,,
65.5,1165.0,9.5,15.14,,,
,,,,,,
66.5,1198.0,9.8,15.454,,,
67.0,1215.0,10.0,15.769,,,
67.5,1232.0,10.1,16.101,,,
68.0,1251.0,10.3,16.508,,,
68.5,1269.0,10.4,16.878,,,
69.0,1287.0,10.6,17.21,,,
69.5,1306.0,10.7,17.617,,,
70.0,1323.0,10.9,17.913,,,
,,,,,,
71.0,1360.0,11.2,18.264,,,
,,,,,,
72.0,1400.0,11.6,18.633,,,
72.5,1419.0,11.8,19.041,,,
73.0,1438.0,11.9,19.391,,,
73.5,1458.0,12.1,19.687,,,
,,,,,,
74.5,1496.0,12.5,19.871,,,
75.0,1516.0,12.6,20.036,,,
75.5,1535.0,12.8,20.128,,,
76.0,1556.0,13.0,20.275,,,
76.5,1576.0,13.2,20.386,,,
77.0,1597.0,13.4,20.459,,,
77.5,1618.0,13.6,20.57,,,
78.0,1639.0,13.8,20.68,,,
78.5,1658.0,13.9,20.679,,,
79.0,1679.0,14.1,20.825,,,
79.5,1700.0,14.4,20.918,,,
,,,,,,
,,,,,,
81.0,1763.0,15.0,20.953,,,
81.5,1785.0,15.1,21.062,,,
82.0,1807.0,15.3,21.172,,,
82.5,1830.0,15.5,21.282,,,
83.0,1852.0,15.7,21.391,,,
83.5,1875.0,15.9,21.502,,,
84.0,1901.0,16.2,21.761,,,
84.5,1923.0,16.4,21.796,,,
85.0,1950.0,16.6,22.054,,,
85.5,1970.0,16.8,22.015,,,
86.0,1997.0,17.1,22.237,,,
86.5,2019.0,17.3,22.272,,,
87.0,2046.0,17.5,22.568,,,
87.5,2071.0,17.8,22.716,,,
88.0,2096.0,18.0,22.861,,,
88.5,2121.0,18.2,23.008,,,
89.0,2146.0,18.5,23.12,,,
89.5,2171.0,18.7,23.229,,,
,,,,,,
90.5,2224.0,19.2,23.358,,,
91.0,2250.0,19.4,23.504,,,
91.5,2277.0,19.6,23.65,,,
92.0,2303.0,19.9,23.649,,,
92.5,2330.0,20.1,23.832,,,
93.0,2358.0,20.4,23.869,,,
93.5,2384.0,20.6,24.089,,,
94.0,2412.0,20.9,24.124,,,
94.5,2438.0,21.1,24.27,,,
95.0,2468.0,21.4,24.381,,,
95.5,2496.0,21.6,24.488,,,
96.0,2525.0,21.9,24.636,,,
96.5,2554.0,22.2,24.783,,,
97.0,2582.0,22.4,24.89,,,
97.5,2611.0,22.7,25.038,,,
98.0,2644.0,23.0,25.277,,,
98.5,2672.0,23.2,25.349,,,
99.0,2704.0,23.6,25.536,,,
99.5,2732.0,23.8,25.605,,,
,,,,,,
100.5,2796.0,24.4,25.79,,,
101.0,2824.0,24.6,25.785,,,
101.5,2858.0,24.8,26.078,,,
102.0,2887.0,25.2,26.115,,,
102.5,2920.0,25.4,26.372,,,
103.0,2951.0,25.7,26.406,,,
103.5,2984.0,26.0,26.59,,,
104.0,3014.0,26.3,26.624,,,
104.5,3049.0,26.6,26.843,,,
,,,,,,
105.5,3116.0,27.2,27.045,,,
106.0,3149.0,27.4,27.188,,,
106.5,3182.0,27.8,27.187,,,
,,,,,,
107.5,3246.0,28.4,27.334,,,
108.0,3282.0,28.6,27.474,,,
108.5,3315.0,29.0,27.66,,,
109.0,3350.0,29.3,27.768,,,
109.5,3387.0,29.6,28.099,,,
110.0,3422.0,30.0,28.137,,,
110.5,3460.0,30.2,28.462,,,
111.0,3496.0,30.5,28.571,,,
111.5,3530.0,30.9,28.681,,,
112.0,3567.0,31.2,28.825,,,
112.5,3605.0,31.5,29.117,,,
113.0,3642.0,31.8,29.187,,,
113.5,3680.0,32.2,29.352,,,
114.0,3718.0,32.5,29.536,,,
114.5,3755.0,32.8,29.677,,,
115.0,3797.0,33.2,30.046,,,
115.5,3832.0,33.5,30.007,,,
116.0,3874.0,33.9,30.336,,,
116.5,3914.0,34.2,30.517,,,
117.0,3954.0,34.6,30.626,,,
,,,,,,
118.0,4031.0,35.2,30.748,,,
118.5,4075.0,35.5,30.968,,,
119.0,4113.0,35.8,31.037,,,
119.5,4157.0,36.2,31.403,,,
120.0,4196.0,36.6,31.475,,,
120.5,4241.0,37.0,31.732,,,
121.0,4282.0,37.3,31.875,,,
121.5,4321.0,37.6,31.904,,,
122.0,4362.0,38.0,32.012,,,
122.5,4409.0,38.4,32.38,,,
123.0,4455.0,38.8,32.523,,,
123.5,4499.0,39.2,32.853,,,
124.0,4543.0,39.5,32.919,,,
124.5,4587.0,39.9,33.064,,,
125.0,4632.0,40.3,33.244,,,
125.5,4677.0,40.7,33.482,,,
,,,,,,
126.5,4767.0,41.5,33.516,,,
127.0,4813.0,41.9,33.809,,,
