t,v1,h1,a1,v2,h2,a2
0.5,0.0,0.0,,,,
1.0,0.0,0.0,,,,
1.5,0.0,0.0,,,,
2.0,0.0,0.0,,,,
2.5,0.0,0.0,,,,
3.0,0.0,0.0,,,,
3.5,2.0,0.0,,,,
4.0,4.0,0.0,,,,
4.5,6.0,0.0,,,,
5.0,13.0,0.0,,,,
5.5,20.0,0.0,,,,
6.0,29.0,0.0,,,,
6.5,37.0,0.0,,,,
7.0,45.0,0.0,,,,
7.5,54.0,0.0,11.817,,,
8.0,63.0,0.0,12.15,,,
8.5,72.0,0.0,12.484,,,
9.0,80.0,0.0,12.78,,,
9.5,89.0,0.0,13.113,,,
10.0,98.0,0.0,13.447,,,
10.5,107.0,0.0,13.78,,,
11.0,117.0,0.0,14.076,,,
11.5,126.0,0.0,14.335,,,
12.0,135.0,0.0,14.595,,,
12.5,145.0,0.0,14.706,,,
13.0,155.0,0.0,14.817,,,
13.5,164.0,0.0,14.817,,,
14.0,173.0,0.0,14.854,,,
14.5,183.0,0.0,14.928,,,
15.0,192.0,0.0,14.928,,,
15.5,203.0,0.0,15.002,,,
16.0,212.0,0.0,15.002,,,
16.5,221.0,0.0,15.039,,,
17.0,231.0,0.0,15.076,,,
17.5,240.0,0.0,15.076,,,
18.0,250.0,0.0,15.113,,,
18.5,260.0,0.0,15.113,,,
19.0,269.0,0.0,15.113,,,
19.5,278.0,0.0,15.113,,,
20.0,287.0,0.0,15.076,,,
20.5,297.0,0.0,15.076,,,
21.0,306.0,0.0,15.076,,,
21.5,315.0,0.0,15.076,,,
22.0,324.0,0.0,15.038,,,
22.5,334.0,0.0,15.075,,,
23.0,344.0,0.0,15.038,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27.5,432.0,1.0,15.067,,,
28.0,442.0,1.0,15.104,,,
28.5,452.0,1.0,15.103,,,
29.0,462.0,1.0,15.14,,,
29.5,472.0,1.0,15.14,,,
30.0,483.0,1.0,15.176,,,
30.5,493.0,1.0,15.213,,,
31.0,503.0,1.0,15.25,,,
31.5,513.0,1.0,15.286,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
35.0,588.0,2.0,15.313,,,
35.5,599.0,2.0,15.386,,,
36.0,610.0,2.0,15.459,,,
36.5,621.0,2.0,15.533,,,
37.0,632.0,2.0,15.569,,,
37.5,643.0,2.0,15.606,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
40.5,710.0,3.0,15.657,,,
41.0,721.0,3.0,15.693,,,
41.5,732.0,3.0,15.729,,,
42.0,743.0,3.0,15.766,,,
42.5,754.0,3.0,15.802,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
45.0,805.0,4.0,15.772,,,
45.5,816.0,4.0,15.808,,,
46.0,826.0,4.0,15.807,,,
46.5,836.0,4.0,15.806,,,
47.0,845.0,4.0,15.742,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
49.5,893.0,5.0,15.69,,,
50.0,903.0,5.0,15.652,,,
50.5,912.0,5.0,15.577,,,
51.0,921.0,5.0,15.501,,,
51.5,930.0,5.0,15.426,,,
,,,,,,
,,,,,,
,,,,,,
53.5,967.0,6.0,15.355,,,
54.0,976.0,6.0,15.28,,,
54.5,985.0,6.0,15.205,,,
55.0,993.0,6.0,15.093,,,
,,,,,,
,,,,,,
,,,,,,
57.0,1025.0,7.0,14.981,,,
57.5,1032.0,7.0,14.861,,,
58.0,1040.0,7.0,14.749,,,
58.5,1048.0,7.0,14.674,,,
,,,,,,
,,,,,,
,,,,,,
60.5,1081.0,8.0,14.609,,,
61.0,1090.0,8.0,14.608,,,
61.5,1099.0,8.0,14.584,,,
62.0,1108.0,8.0,14.546,,,
,,,,,,
,,,,,,
,,,,,,
64.0,1147.0,9.0,14.574,,,
64.5,1156.0,9.0,14.572,,,
65.0,1167.0,9.0,14.645,,,
65.5,1177.0,9.0,14.671,,,
,,,,,,
,,,,,,
67.0,1209.0,10.0,14.733,,,
67.5,1219.0,10.0,14.769,,,
68.0,1230.0,10.0,14.879,,,
68.5,1240.0,10.0,14.951,,,
,,,,,,
,,,,,,
70.0,1273.0,11.0,15.099,,,
70.5,1284.0,11.0,15.209,,,
71.0,1296.0,11.0,15.356,,,
71.5,1307.0,11.0,15.456,,,
,,,,,,
,,,,,,
73.0,1344.0,12.0,15.579,,,
73.5,1356.0,12.0,15.689,,,
74.0,1369.0,12.0,15.836,,,
,,,,,,
,,,,,,
75.5,1407.0,13.0,15.943,,,
76.0,1421.0,13.0,16.127,,,
76.5,1434.0,13.0,16.2,,,
77.0,1447.0,13.0,16.309,,,
,,,,,,
,,,,,,
78.5,1487.0,14.0,16.407,,,
79.0,1501.0,14.0,16.554,,,
79.5,1515.0,14.0,16.664,,,
,,,,,,
,,,,,,
81.0,1558.0,15.0,16.824,,,
81.5,1569.0,15.0,16.822,,,
82.0,1586.0,15.0,17.042,,,
,,,,,,
,,,,,,
83.5,1632.0,16.0,17.166,,,
84.0,1648.0,16.0,17.349,,,
84.5,1664.0,16.0,17.482,,,
,,,,,,
,,,,,,
86.0,1713.0,17.0,17.643,,,
86.5,1729.0,17.0,17.752,,,
,,,,,,
,,,,,,
88.0,1779.0,18.0,17.899,,,
88.5,1796.0,18.0,18.009,,,
89.0,1813.0,18.0,18.155,,,
,,,,,,
90.0,1849.0,19.0,18.34,,,
90.5,1866.0,19.0,18.472,,,
91.0,1884.0,19.0,18.618,,,
,,,,,,
92.0,1922.0,20.0,18.804,,,
92.5,1940.0,20.0,18.936,,,
93.0,1959.0,20.0,19.23,,,
,,,,,,
94.0,1997.0,21.0,19.305,,,
94.5,2017.0,21.0,19.474,,,
95.0,2037.0,21.0,19.62,,,
95.5,2056.0,21.0,19.728,,,
,,,,,,
96.5,2096.0,22.0,19.863,,,
97.0,2116.0,22.0,20.009,,,
97.5,2137.0,22.0,20.165,,,
,,,,,,
98.5,2178.0,23.0,20.296,,,
99.0,2199.0,23.0,20.442,,,
,,,,,,
100.0,2242.0,24.0,20.571,,,
100.5,2264.0,24.0,20.754,,,
101.0,2286.0,24.0,20.9,,,
,,,,,,
102.0,2330.0,25.0,21.01,,,
102.5,2352.0,25.0,21.155,,,
103.0,2374.0,25.0,21.264,,,
,,,,,,
104.0,2420.0,26.0,21.411,,,
104.5,2442.0,26.0,21.483,,,
,,,,,,
105.5,2488.0,27.0,21.596,,,
106.0,2512.0,27.0,21.778,,,
106.5,2535.0,27.0,21.883,,,
,,,,,,
107.5,2582.0,28.0,22.015,,,
108.0,2605.0,28.0,22.086,,,
,,,,,,
109.0,2654.0,29.0,22.233,,,
109.5,2678.0,29.0,22.341,,,
,,,,,,
110.5,2728.0,30.0,22.47,,,
111.0,2752.0,30.0,22.54,,,
111.5,2777.0,30.0,22.648,,,
,,,,,,
112.5,2827.0,31.0,22.758,,,
113.0,2853.0,31.0,22.903,,,
,,,,,,
114.0,2905.0,32.0,23.054,,,
114.5,2930.0,32.0,23.12,,,
115.0,2956.0,32.0,23.265,,,
,,,,,,
116.0,3007.0,33.0,23.356,,,
116.5,3032.0,33.0,23.39,,,
,,,,,,
117.5,3083.0,34.0,23.486,,,
118.0,3109.0,34.0,23.57,,,
,,,,,,
119.0,3161.0,35.0,23.685,,,
119.5,3186.0,35.0,23.694,,,
,,,,,,
120.5,3239.0,36.0,23.791,,,
121.0,3264.0,36.0,23.781,,,
,,,,,,
122.0,3316.0,37.0,23.86,,,
122.5,3343.0,37.0,23.93,,,
,,,,,,
123.5,3394.0,38.0,23.947,,,
124.0,3420.0,38.0,23.943,,,
,,,,,,
125.0,3474.0,39.0,23.978,,,
,,,,,,
126.0,3527.0,40.0,24.039,,,
126.5,3554.0,40.0,24.072,,,
,,,,,,
127.5,3607.0,41.0,24.107,,,
128.0,3635.0,41.0,24.213,,,
128.5,3661.0,42.0,24.23,,,
129.0,3687.0,42.0,24.225,,,
129.5,3714.0,42.0,24.25,,,
130.0,3741.0,43.0,24.331,,,
130.5,3769.0,43.0,24.373,,,
131.0,3795.0,43.0,24.406,,,
131.5,3823.0,44.0,24.479,,,
132.0,3849.0,44.0,24.437,,,
132.5,3876.0,45.0,24.491,,,
133.0,3903.0,45.0,24.524,,,
133.5,3930.0,45.0,24.511,,,
134.0,3957.0,46.0,24.528,,,
134.5,3984.0,46.0,24.524,,,
135.0,4013.0,46.0,24.603,,,
135.5,4041.0,47.0,24.612,,,
136.0,4068.0,47.0,24.635,,,
136.5,4096.0,47.0,24.706,,,
137.0,4123.0,48.0,24.715,,,
137.5,4151.0,48.0,24.738,,,
138.0,4179.0,49.0,24.748,,,
138.5,4205.0,49.0,24.744,,,
139.0,4234.0,49.0,24.766,,,
139.5,4262.0,50.0,24.85,,,
140.0,4290.0,50.0,24.872,,,
140.5,4318.0,50.0,24.905,,,
141.0,4344.0,51.0,24.879,,,
141.5,4375.0,51.0,25.011,,,
142.0,4401.0,52.0,24.985,,,
142.5,4429.0,52.0,24.944,,,
143.0,4456.0,52.0,24.89,,,
143.5,4484.0,53.0,24.94,,,
144.0,4512.0,53.0,24.935,,,
144.5,4541.0,53.0,24.992,,,
145.0,4568.0,54.0,24.968,,,
145.5,4596.0,54.0,24.95,,,
146.0,4624.0,55.0,25.037,,,
146.5,4652.0,55.0,24.996,,,
147.0,4680.0,55.0,24.977,,,
147.5,4708.0,56.0,24.991,,,
148.0,4737.0,56.0,25.023,,,
148.5,4765.0,57.0,25.096,,,
149.0,4793.0,57.0,24.981,,,
149.5,4822.0,57.0,25.072,,,
150.0,4850.0,58.0,25.087,,,
150.5,4879.0,58.0,25.157,,,
151.0,4907.0,59.0,25.155,,,
151.5,4938.0,59.0,25.262,,,
152.0,4966.0,59.0,25.221,,,
152.5,4995.0,60.0,25.294,,,
153.0,5024.0,60.0,25.326,,,
153.5,5054.0,60.0,25.379,,,
154.0,5083.0,61.0,25.432,,,
154.5,5113.0,61.0,25.501,,,
155.0,5142.0,62.0,25.537,,,
155.5,5169.0,62.0,25.459,,,
156.0,5198.0,62.0,25.473,,,
156.5,5228.0,63.0,25.564,,,
157.0,5253.0,63.0,25.411,,,
157.5,5269.0,64.0,24.966,,,
,,,,,,
,,,,,,
159.0,5267.0,65.0,23.867,,,
159.5,5261.0,65.0,22.585,,,
,,,,,,
160.5,5248.0,66.0,21.202,,,
161.0,5241.0,66.0,19.902,,,
,,,,,,
,,,,,,
,,,,,,
163.0,5207.0,68.0,18.5,,,
163.5,5196.0,68.0,17.016,,,
164.0,5189.0,68.0,15.643,,,
164.5,5186.0,69.0,14.456,,,
165.0,5185.0,69.0,13.306,,,
165.5,5183.0,70.0,12.156,,,
166.0,5180.0,70.0,11.043,,,
,,,,,,
167.0,5170.0,71.0,9.793,,,
167.5,5167.0,71.0,8.548,,,
168.0,5166.0,71.0,7.584,,,
168.5,5170.0,72.0,7.138,,,
169.0,5174.0,72.0,7.306,5288.0,72.0,
169.5,5174.0,72.0,7.527,5297.0,73.0,
170.0,5168.0,73.0,7.556,5305.0,73.0,
170.5,5156.0,73.0,7.37,5313.0,73.0,
171.0,5141.0,73.0,7.118,5322.0,74.0,
171.5,5119.0,74.0,6.731,5330.0,74.0,
172.0,5091.0,74.0,5.953,5339.0,74.0,
,,,,5347.0,75.0,
,,,,5356.0,75.0,
173.5,4976.0,78.0,4.643,5373.0,76.0,
174.0,4924.0,76.0,2.135,5382.0,76.0,
174.5,4861.0,76.0,-0.144,5391.0,76.0,
175.0,4799.0,76.0,-2.328,5400.0,77.0,
175.5,4728.0,77.0,-4.762,5409.0,77.0,
176.0,4657.0,77.0,-7.278,5418.0,77.0,13.849
176.5,4582.0,77.0,-10.015,5427.0,78.0,14.204
177.0,4509.0,78.0,-12.868,5436.0,78.0,14.179
177.5,4432.0,78.0,-15.864,5445.0,79.0,14.237
178.0,4355.0,78.0,-18.711,5455.0,79.0,14.309
178.5,4276.0,79.0,-21.416,5464.0,79.0,14.284
179.0,4201.0,79.0,-23.743,5473.0,80.0,14.343
179.5,4121.0,79.0,-26.144,5482.0,80.0,14.34
180.0,4047.0,80.0,-28.071,5492.0,80.0,14.389
180.5,3967.0,80.0,-29.99,5501.0,81.0,14.411
181.0,3891.0,80.0,-31.398,5511.0,81.0,14.454
181.5,3813.0,81.0,-31.722,5520.0,81.0,14.452
182.0,3739.0,81.0,-32.123,5530.0,82.0,14.511
182.5,3660.0,81.0,-32.746,5539.0,82.0,14.486
183.0,3586.0,81.0,-32.868,5550.0,82.0,14.557
,,,,5559.0,83.0,14.58
184.0,3434.0,82.0,-33.037,5570.0,83.0,14.628
184.5,3355.0,82.0,-33.178,5579.0,83.0,14.626
,,,,5590.0,84.0,14.699
185.5,3204.0,83.0,-33.272,5600.0,84.0,14.697
186.0,3132.0,83.0,-33.08,5611.0,84.0,14.768
186.5,3053.0,83.0,-33.147,5620.0,84.0,14.742
,,,,5631.0,85.0,14.84
187.5,2900.0,84.0,-33.056,5641.0,85.0,14.837
188.0,2831.0,84.0,-32.827,5652.0,85.0,14.885
188.5,2754.0,84.0,-32.709,5662.0,86.0,14.908
,,,,5672.0,86.0,14.943
189.5,2609.0,85.0,-32.655,5683.0,86.0,14.954
190.0,2537.0,85.0,-32.352,5694.0,87.0,15.051
190.5,2460.0,85.0,-32.383,,,
,,,,5715.0,87.0,15.03
191.5,2312.0,86.0,-32.236,5726.0,88.0,15.103
192.0,2240.0,86.0,-32.155,5737.0,88.0,15.101
192.5,2167.0,86.0,-31.927,5748.0,88.0,15.172
,,,,5760.0,89.0,15.208
193.5,2027.0,87.0,-31.77,5770.0,89.0,15.206
194.0,1960.0,87.0,-31.441,5782.0,89.0,15.24
194.5,1890.0,87.0,-31.102,5793.0,89.0,15.312
195.0,1826.0,87.0,-30.68,5805.0,90.0,15.348
,,,,5816.0,90.0,15.382
,,,,5827.0,90.0,15.38
196.5,1645.0,88.0,-30.241,5839.0,91.0,15.453
197.0,1592.0,88.0,-29.273,5851.0,91.0,15.524
197.5,1538.0,88.0,-28.443,5862.0,91.0,15.522
,,,,5874.0,92.0,15.558
,,,,5885.0,92.0,15.574
199.0,1407.0,89.0,-27.499,5897.0,92.0,15.582
199.5,1368.0,89.0,-26.088,5909.0,92.0,15.617
200.0,1334.0,89.0,-24.664,5920.0,93.0,15.642
,,,,5933.0,93.0,15.651
,,,,5945.0,93.0,15.722
201.5,1254.0,90.0,-22.981,5957.0,94.0,15.748
202.0,1236.0,90.0,-20.793,5969.0,94.0,15.782
202.5,1222.0,90.0,-18.573,5981.0,94.0,15.753
203.0,1212.0,90.0,-16.275,5993.0,95.0,15.816
,,,,6005.0,95.0,15.85
,,,,6018.0,95.0,15.858
204.5,1205.0,91.0,-13.655,6030.0,95.0,15.855
205.0,1210.0,91.0,-10.879,6042.0,96.0,15.919
205.5,1217.0,91.0,-8.137,6055.0,96.0,15.926
206.0,1228.0,91.0,-5.136,6067.0,96.0,15.96
,,,,6080.0,96.0,15.995
,,,,6093.0,97.0,16.059
207.5,1282.0,92.0,-2.098,6105.0,97.0,16.065
208.0,1306.0,92.0,1.024,6118.0,97.0,16.063
208.5,1334.0,92.0,4.024,6131.0,98.0,16.127
209.0,1364.0,92.0,7.134,6144.0,98.0,16.133
209.5,1397.0,92.0,9.972,6157.0,98.0,16.168
210.0,1433.0,92.0,12.749,6169.0,98.0,16.165
,,,,6182.0,99.0,16.201
,,,,6196.0,99.0,16.273
211.5,1556.0,93.0,15.527,6208.0,99.0,16.233
212.0,1601.0,93.0,18.179,6222.0,100.0,16.335
212.5,1649.0,93.0,20.622,6235.0,100.0,16.341
213.0,1696.0,93.0,22.879,6248.0,100.0,16.338
213.5,1726.0,93.0,24.359,6262.0,100.0,16.409
214.0,1739.0,93.0,24.924,6275.0,101.0,16.438
,,,,6289.0,101.0,16.443
,,,,6302.0,101.0,16.477
215.5,1760.0,94.0,24.999,6316.0,101.0,16.511
216.0,1766.0,94.0,24.96,6329.0,102.0,16.51
216.5,1774.0,94.0,24.847,6343.0,102.0,16.545
217.0,1781.0,94.0,24.436,6357.0,102.0,16.579
217.5,1788.0,94.0,23.805,6371.0,102.0,16.65
218.0,1796.0,94.0,23.063,6385.0,103.0,16.687
218.5,1804.0,94.0,22.247,6398.0,103.0,16.647
219.0,1813.0,94.0,21.356,6412.0,103.0,16.718
219.5,1822.0,94.0,20.355,6426.0,103.0,16.685
,,,,6441.0,104.0,16.789
220.5,1840.0,95.0,19.169,6454.0,104.0,16.786
221.0,1849.0,95.0,17.835,6469.0,104.0,16.82
221.5,1859.0,95.0,16.427,6482.0,104.0,16.786
222.0,1869.0,95.0,15.055,6496.0,105.0,16.817
222.5,1879.0,95.0,14.314,6511.0,105.0,16.888
223.0,1890.0,95.0,14.239,6525.0,105.0,16.885
223.5,1899.0,95.0,14.31,6540.0,105.0,16.925
224.0,1900.0,95.0,14.124,6554.0,106.0,16.956
224.5,1898.0,95.0,13.753,6569.0,106.0,16.99
225.0,1894.0,95.0,13.345,6583.0,106.0,16.987
225.5,1891.0,95.0,12.974,6598.0,106.0,16.989
226.0,1888.0,95.0,12.566,6613.0,107.0,17.095
226.5,1884.0,95.0,12.122,6628.0,107.0,17.129
227.0,1881.0,95.0,11.677,6643.0,107.0,17.163
227.5,1878.0,95.0,11.232,6658.0,107.0,17.127
,,,,6673.0,108.0,17.233
228.5,1873.0,96.0,10.806,6688.0,108.0,17.23
229.0,1870.0,96.0,10.361,6703.0,108.0,17.301
229.5,1868.0,96.0,9.916,6718.0,108.0,17.302
230.0,1866.0,96.0,9.472,6733.0,109.0,17.335
230.5,1864.0,96.0,9.027,6749.0,109.0,17.406
231.0,1862.0,96.0,8.546,6764.0,109.0,17.403
231.5,1860.0,96.0,8.138,6779.0,109.0,17.403
232.0,1859.0,96.0,8.064,6794.0,110.0,17.436
232.5,1858.0,96.0,8.101,6810.0,110.0,17.507
233.0,1857.0,96.0,8.212,6825.0,110.0,17.504
233.5,1856.0,96.0,8.286,6842.0,110.0,17.54
234.0,1855.0,96.0,8.36,6857.0,111.0,17.574
234.5,1854.0,96.0,8.471,6872.0,111.0,17.571
235.0,1853.0,96.0,8.545,6888.0,111.0,17.605
235.5,1853.0,96.0,8.656,6904.0,111.0,17.603
236.0,1853.0,96.0,8.746,,,
236.5,1852.0,96.0,8.82,,,
237.0,1852.0,96.0,8.894,,,
237.5,1853.0,96.0,9.005,,,
238.0,1853.0,96.0,9.079,,,
238.5,1853.0,96.0,9.153,,,
239.0,1854.0,96.0,9.264,,,
239.5,1854.0,96.0,9.302,,,
240.0,1855.0,96.0,9.376,,,
240.5,1856.0,96.0,9.45,,,
241.0,1857.0,96.0,9.524,,,
241.5,1859.0,96.0,9.635,,,
242.0,1860.0,96.0,9.709,,,
242.5,1862.0,96.0,9.82,,,
243.0,1864.0,96.0,9.894,,,
243.5,1866.0,96.0,9.968,,,
244.0,1868.0,96.0,10.079,,,
244.5,1870.0,96.0,10.153,,,
245.0,1872.0,96.0,10.19,,,
245.5,1875.0,95.0,9.669,7233.0,116.0,17.652
246.0,1878.0,95.0,9.78,7250.0,116.0,17.719
246.5,1880.0,95.0,9.817,7267.0,116.0,17.785
247.0,1884.0,95.0,9.965,7284.0,116.0,17.816
247.5,1887.0,95.0,10.04,7301.0,116.0,17.845
248.0,1890.0,95.0,10.114,7319.0,117.0,17.99
248.5,1893.0,95.0,10.188,7336.0,117.0,18.056
249.0,1897.0,95.0,10.262,7353.0,117.0,18.086
249.5,1901.0,95.0,10.373,7370.0,117.0,18.115
250.0,1905.0,95.0,10.447,7388.0,117.0,18.219
250.5,1909.0,95.0,10.522,7405.0,118.0,18.252
251.0,1913.0,95.0,10.596,7423.0,118.0,18.318
251.5,1917.0,95.0,10.67,7440.0,118.0,18.385
252.0,1922.0,95.0,10.781,7458.0,118.0,18.451
252.5,1927.0,95.0,10.892,7476.0,118.0,18.517
253.0,1931.0,95.0,11.562,7494.0,119.0,18.609
253.5,1936.0,95.0,11.635,7511.0,119.0,18.606
254.0,1941.0,94.0,11.114,7529.0,119.0,18.639
254.5,1947.0,94.0,11.188,7547.0,119.0,18.673
255.0,1952.0,94.0,11.262,7564.0,119.0,18.669
255.5,1957.0,94.0,11.336,7582.0,120.0,18.665
256.0,1963.0,94.0,11.447,7600.0,120.0,18.698
256.5,1968.0,94.0,11.484,7619.0,120.0,18.769
257.0,1974.0,94.0,11.558,7636.0,120.0,18.765
257.5,1980.0,94.0,11.632,7655.0,120.0,18.798
258.0,1986.0,94.0,11.706,7673.0,121.0,18.832
258.5,1993.0,94.0,11.818,7691.0,121.0,18.828
259.0,1999.0,94.0,11.892,7709.0,121.0,18.861
259.5,2005.0,93.0,11.296,7728.0,121.0,18.894
260.0,2012.0,93.0,11.37,7747.0,121.0,18.928
260.5,2019.0,93.0,11.482,7765.0,121.0,18.883
261.0,2026.0,93.0,11.556,7784.0,122.0,18.994
261.5,2033.0,93.0,12.262,7803.0,122.0,19.027
262.0,2041.0,93.0,12.336,7821.0,122.0,19.023
262.5,2048.0,93.0,12.41,7840.0,122.0,19.094
263.0,2056.0,93.0,12.521,7858.0,122.0,19.049
263.5,2064.0,92.0,11.963,7878.0,122.0,19.119
264.0,2072.0,92.0,12.074,7897.0,123.0,19.156
264.5,2080.0,92.0,12.148,7916.0,123.0,19.226
265.0,2088.0,92.0,12.222,7935.0,123.0,19.222
265.5,2095.0,92.0,12.259,7954.0,123.0,19.214
266.0,2103.0,92.0,12.296,7973.0,123.0,19.247
266.5,2111.0,92.0,12.37,7993.0,124.0,19.358
267.0,2120.0,92.0,13.114,8012.0,124.0,19.354
267.5,2128.0,91.0,12.518,8032.0,124.0,19.387
268.0,2136.0,91.0,12.555,8051.0,124.0,19.42
268.5,2144.0,91.0,12.593,8071.0,124.0,19.412
269.0,2153.0,91.0,12.667,8090.0,124.0,19.408
269.5,2162.0,91.0,12.704,8110.0,125.0,19.519
270.0,2171.0,91.0,12.778,8130.0,125.0,19.552
270.5,2180.0,90.0,12.182,8151.0,125.0,19.659
271.0,2190.0,90.0,12.889,8171.0,125.0,19.654
271.5,2199.0,90.0,12.926,8190.0,125.0,19.609
272.0,2209.0,90.0,13.0,8210.0,125.0,19.642
272.5,2218.0,90.0,13.037,8230.0,126.0,19.716
273.0,2228.0,90.0,13.148,8250.0,126.0,19.749
273.5,2237.0,89.0,12.553,8271.0,126.0,19.818
274.0,2247.0,89.0,12.627,8291.0,126.0,19.773
274.5,2256.0,89.0,12.627,8311.0,126.0,19.806
275.0,2266.0,89.0,13.333,8332.0,126.0,19.839
275.5,2276.0,89.0,13.407,8352.0,127.0,19.912
276.0,2286.0,89.0,13.481,8373.0,127.0,19.945
276.5,2296.0,88.0,12.886,8393.0,127.0,19.977
277.0,2306.0,88.0,12.923,8414.0,127.0,19.969
277.5,2316.0,88.0,12.96,8434.0,127.0,19.965
