t,v1,h1,a1,v2,h2,a2
,,,,,,
1.0,0.0,-0.0,,,,
,,,,,,
,,,,,,
2.5,0.0,-0.0,,,,
3.0,3.0,-0.0,,,,
3.5,5.0,-0.0,,,,
4.0,6.0,-0.0,,,,
4.5,7.0,-0.0,,,,
5.0,13.0,-0.0,,,,
5.5,20.0,0.0,,,,
6.0,25.0,0.0,,,,
6.5,32.0,0.0,,,,
7.0,38.0,0.0,,,,
7.5,44.0,0.0,,,,
8.0,51.0,0.0,,,,
8.5,57.0,0.0,,,,
9.0,67.0,0.0,12.298,,,
9.5,75.0,0.0,12.595,,,
10.0,83.0,0.0,12.891,,,
,,,,,,
11.0,99.0,0.0,13.076,,,
,,,,,,
,,,,,,
12.5,123.0,0.1,13.298,,,
13.0,131.0,0.1,13.558,,,
13.5,139.0,0.1,13.817,,,
,,,,,,
,,,,,,
15.0,164.0,0.2,13.903,,,
,,,,,,
16.0,181.0,0.2,13.959,,,
,,,,,,
17.0,198.0,0.3,14.088,,,
17.5,207.0,0.3,14.162,,,
,,,,,,
18.5,225.0,0.4,14.273,,,
19.0,233.0,0.4,14.347,,,
,,,,,,
20.0,251.0,0.5,14.421,,,
,,,,,,
21.0,269.0,0.6,14.532,,,
21.5,279.0,0.6,14.532,,,
,,,,,,
22.5,297.0,0.7,14.569,,,
23.0,307.0,0.7,14.643,,,
,,,,,,
24.0,326.0,0.8,14.698,,,
,,,,,,
25.0,346.0,0.9,14.772,,,
,,,,,,
26.0,365.0,1.0,14.828,,,
,,,,,,
,,,,,,
27.5,395.0,1.1,14.901,,,
28.0,405.0,1.2,14.963,,,
28.5,416.0,1.3,15.055,,,
29.0,426.0,1.3,15.11,,,
29.5,437.0,1.4,15.184,,,
30.0,448.0,1.5,15.258,,,
30.5,457.0,1.5,15.295,,,
31.0,470.0,1.6,15.443,,,
31.5,480.0,1.6,15.479,,,
32.0,492.0,1.7,15.553,,,
32.5,501.0,1.8,15.553,,,
33.0,514.0,1.9,15.664,,,
33.5,524.0,1.9,15.682,,,
34.0,536.0,2.0,15.756,,,
34.5,548.0,2.1,15.848,,,
35.0,560.0,2.2,15.922,,,
,,,,,,
36.0,583.0,2.3,15.977,,,
36.5,595.0,2.4,16.014,,,
37.0,608.0,2.5,16.125,,,
37.5,621.0,2.6,16.199,,,
38.0,632.0,2.6,16.199,,,
,,,,,,
,,,,,,
39.5,669.0,2.9,16.322,,,
40.0,683.0,3.0,16.359,,,
40.5,695.0,3.1,16.433,,,
41.0,709.0,3.2,16.506,,,
41.5,721.0,3.3,16.617,,,
42.0,735.0,3.4,16.654,,,
42.5,748.0,3.5,16.765,,,
43.0,762.0,3.6,16.839,,,
43.5,775.0,3.7,16.875,,,
44.0,788.0,3.8,16.912,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48.0,866.0,4.7,16.847,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51.5,919.0,5.5,16.682,,,
,,,,,,
52.5,934.0,5.7,16.477,,,
53.0,943.0,5.9,16.328,,,
53.5,951.0,6.0,16.217,,,
