t,v1,h1,a1,v2,h2,a2
0.5,0.0,-0.0,,,,
,,,,,,
1.5,0.0,-0.0,,,,
2.0,0.0,-0.0,,,,
2.5,0.0,-0.0,,,,
3.0,3.0,-0.0,,,,
3.5,4.0,-0.0,,,,
4.0,5.0,-0.0,,,,
,,,,,,
5.0,14.0,0.0,,,,
5.5,20.0,0.0,,,,
6.0,26.0,0.0,,,,
6.5,32.0,0.0,,,,
7.0,38.0,0.0,,,,
7.5,46.0,0.0,,,,
8.0,52.0,0.0,,,,
8.5,59.0,0.0,11.836,,,
9.0,67.0,0.0,12.132,,,
9.5,74.0,0.0,12.391,,,
10.0,80.0,0.0,12.613,,,
,,,,,,
,,,,,,
,,,,,,
12.0,111.0,0.1,12.9,,,
12.5,118.0,0.1,13.048,,,
13.0,127.0,0.1,13.345,,,
13.5,134.0,0.1,13.567,,,
,,,,,,
,,,,,,
15.0,159.0,0.2,13.709,,,
15.5,167.0,0.2,13.783,,,
16.0,175.0,0.2,13.857,,,
,,,,,,
17.0,192.0,0.3,13.949,,,
17.5,201.0,0.3,14.06,,,
,,,,,,
18.5,218.0,0.4,14.079,,,
19.0,225.0,0.4,14.116,,,
,,,,,,
20.0,243.0,0.5,14.19,,,
20.5,252.0,0.5,14.227,,,
,,,,,,
21.5,270.0,0.6,14.301,,,
22.0,279.0,0.6,14.411,,,
,,,,,,
23.0,297.0,0.7,14.458,,,
,,,,,,
24.0,316.0,0.8,14.55,,,
,,,,,,
25.0,335.0,0.9,14.568,,,
,,,,,,
26.0,354.0,1.0,14.661,,,
26.5,363.0,1.0,14.685,,,
27.0,372.0,1.1,14.722,,,
27.5,383.0,1.1,14.833,,,
28.0,392.0,1.2,14.851,,,
28.5,402.0,1.2,14.888,,,
29.0,411.0,1.3,14.906,,,
29.5,421.0,1.3,15.017,,,
30.0,432.0,1.4,15.091,,,
30.5,442.0,1.5,15.128,,,
31.0,452.0,1.5,15.165,,,
31.5,463.0,1.6,15.239,,,
32.0,474.0,1.7,15.313,,,
32.5,485.0,1.7,15.368,,,
33.0,494.0,1.8,15.349,,,
33.5,506.0,1.9,15.441,,,
34.0,516.0,1.9,15.478,,,
34.5,527.0,2.0,15.552,,,
35.0,539.0,2.1,15.589,,,
35.5,550.0,2.2,15.663,,,
,,,,,,
,,,,,,
,,,,,,
37.5,594.0,2.5,15.7,,,
38.0,607.0,2.6,15.848,,,
38.5,618.0,2.7,15.885,,,
39.0,630.0,2.8,15.921,,,
39.5,641.0,2.9,15.958,,,
,,,,,,
40.5,666.0,3.0,16.05,,,
41.0,677.0,3.1,16.05,,,
41.5,689.0,3.2,16.087,,,
42.0,702.0,3.3,16.161,,,
42.5,714.0,3.4,16.271,,,
43.0,726.0,3.5,16.271,,,
43.5,738.0,3.6,16.345,,,
44.0,751.0,3.7,16.419,,,
,,,,,,
45.0,776.0,3.9,16.437,,,
45.5,789.0,4.0,16.51,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48.0,836.0,4.6,16.451,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
50.5,867.0,5.2,16.198,,,
51.0,874.0,5.3,16.049,,,
,,,,,,
52.0,887.0,5.6,15.845,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54.5,920.0,6.2,15.681,,,
,,,,,,
,,,,,,
56.0,940.0,6.6,15.465,,,
,,,,,,
,,,,,,
57.5,961.0,7.0,15.316,,,
58.0,969.0,7.1,15.167,,,
58.5,976.0,7.3,14.944,,,
,,,,,,
,,,,,,
60.0,999.0,7.7,14.782,,,
60.5,1006.0,7.8,14.596,,,
61.0,1013.0,7.9,14.409,,,
,,,,,,
62.0,1028.0,8.2,14.205,,,
62.5,1037.0,8.4,14.074,,,
,,,,,,
,,,,,,
,,,,,,
64.5,1070.0,9.0,13.897,,,
,,,,,,
65.5,1087.0,9.3,13.863,,,
,,,,,,
66.5,1103.0,9.6,13.929,,,
67.0,1112.0,9.7,14.002,,,
,,,,,,
68.0,1130.0,10.0,14.093,,,
68.5,1139.0,10.2,14.181,,,
69.0,1147.0,10.3,14.229,,,
69.5,1156.0,10.5,14.303,,,
70.0,1166.0,10.7,14.376,,,
70.5,1175.0,10.8,14.449,,,
71.0,1184.0,11.0,14.498,,,
71.5,1194.0,11.2,14.609,,,
72.0,1204.0,11.3,14.719,,,
72.5,1213.0,11.5,14.774,,,
73.0,1223.0,11.7,14.81,,,
73.5,1235.0,11.8,14.947,,,
74.0,1249.0,12.0,15.151,,,
74.5,1264.0,12.1,15.408,,,
75.0,1279.0,12.2,15.63,,,
75.5,1296.0,12.4,15.926,,,
76.0,1312.0,12.6,16.185,,,
76.5,1330.0,12.8,16.555,,,
77.0,1348.0,13.0,16.888,,,
77.5,1366.0,13.1,17.183,,,
78.0,1383.0,13.3,17.479,,,
78.5,1403.0,13.5,17.886,,,
79.0,1422.0,13.7,18.219,,,
79.5,1441.0,13.9,18.552,,,
80.0,1462.0,14.1,18.996,,,
,,,,,,
81.0,1500.0,14.5,19.329,,,
81.5,1519.0,14.7,19.588,,,
,,,,,,
82.5,1560.0,15.1,19.828,,,
83.0,1581.0,15.4,20.05,,,
83.5,1602.0,15.6,20.272,,,
84.0,1623.0,15.8,20.419,,,
84.5,1643.0,16.0,20.566,,,
85.0,1664.0,16.2,20.676,,,
85.5,1685.0,16.4,20.786,,,
86.0,1705.0,16.6,20.86,,,
86.5,1728.0,16.9,21.081,,,
87.0,1748.0,17.1,21.08,,,
,,,,,,
88.0,1792.0,17.6,21.19,,,
88.5,1815.0,17.8,21.336,,,
89.0,1836.0,18.1,21.336,,,
89.5,1859.0,18.3,21.482,,,
90.0,1882.0,18.5,21.628,,,
,,,,,,
91.0,1927.0,19.0,21.702,,,
91.5,1950.0,19.3,21.775,,,
92.0,1974.0,19.6,21.886,,,
92.5,1998.0,19.8,21.995,,,
93.0,2023.0,20.1,22.18,,,
93.5,2046.0,20.3,22.252,,,
94.0,2070.0,20.6,22.363,,,
,,,,,,
95.0,2118.0,21.1,22.509,,,
95.5,2141.0,21.4,22.509,,,
96.0,2166.0,21.7,22.694,,,
96.5,2191.0,22.0,22.804,,,
97.0,2216.0,22.3,22.878,,,
97.5,2241.0,22.5,23.023,,,
98.0,2266.0,22.8,23.096,,,
98.5,2292.0,23.1,23.207,,,
99.0,2318.0,23.4,23.336,,,
99.5,2346.0,23.7,23.519,,,
100.0,2372.0,24.0,23.592,,,
100.5,2399.0,24.3,23.703,,,
101.0,2424.0,24.6,23.701,,,
101.5,2447.0,24.8,23.698,,,
102.0,2476.0,25.3,23.883,,,
102.5,2501.0,25.4,23.915,,,
103.0,2530.0,25.9,24.137,,,
103.5,2558.0,26.2,24.245,,,
104.0,2584.0,26.5,24.28,,,
104.5,2612.0,26.8,24.389,,,
105.0,2640.0,27.2,24.501,,,
105.5,2668.0,27.4,24.608,,,
106.0,2696.0,27.8,24.681,,,
106.5,2724.0,28.1,24.753,,,
107.0,2752.0,28.4,24.75,,,
107.5,2783.0,28.7,24.933,,,
108.0,2812.0,29.1,25.007,,,
108.5,2844.0,29.4,25.263,,,
109.0,2872.0,29.8,25.45,,,
109.5,2904.0,30.1,25.557,,,
110.0,2932.0,30.5,25.672,,,
110.5,2965.0,30.9,25.819,,,
111.0,2994.0,31.2,25.853,,,
111.5,3027.0,31.5,26.109,,,
112.0,3056.0,31.9,26.146,,,
112.5,3089.0,32.3,26.329,,,
113.0,3119.0,32.6,26.402,,,
113.5,3153.0,33.0,26.622,,,
114.0,3186.0,33.4,26.807,,,
114.5,3217.0,33.8,26.917,,,
115.0,3250.0,34.2,26.991,,,
115.5,3284.0,34.6,27.173,,,
116.0,3316.0,35.0,27.173,,,
116.5,3349.0,35.4,27.354,,,
117.0,3383.0,35.8,27.428,,,
117.5,3417.0,36.2,27.646,,,
,,,,,,
118.5,3485.0,37.0,27.679,,,
119.0,3519.0,37.4,27.864,,,
119.5,3556.0,37.8,28.01,,,
120.0,3592.0,38.2,28.266,,,
120.5,3627.0,38.6,28.336,,,
121.0,3663.0,39.0,28.556,,,
