t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15.0,1.0,-0.0,,,,
,,,,,,
16.667,4.0,-0.0,,,,
,,,,,,
,,,,,,
19.167,14.0,-0.0,,,,
20.0,23.0,0.0,,,,
20.833,34.0,0.0,,,,
21.667,44.0,0.0,,,,
22.5,56.0,0.0,,,,
23.333,67.0,0.0,,,,
24.167,80.0,0.0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28.333,141.0,0.2,,,,
,,,,,,
30.0,166.0,0.2,,,,
,,,,,,
31.667,192.0,0.3,,,,
,,,,,,
,,,,,,
34.167,233.0,0.5,,,,
,,,,,,
,,,,,,
,,,,,,
37.5,231.0,0.7,,,,
,,,,,,
39.167,321.0,0.8,13.521,,,
40.0,337.0,0.9,13.876,,,
40.833,352.0,1.0,14.176,,,
41.667,368.0,1.1,14.457,,,
42.5,383.0,1.2,14.59,,,
43.333,400.0,1.3,14.723,,,
44.167,415.0,1.3,14.834,,,
,,,,,,
,,,,,,
46.667,466.0,1.7,14.944,,,
47.5,483.0,1.8,15.077,,,
48.333,500.0,1.9,15.166,,,
49.167,519.0,2.0,15.317,,,
50.0,536.0,2.1,15.416,,,
50.833,555.0,2.3,15.55,,,
,,,,,,
,,,,,,
53.333,611.0,2.7,15.66,,,
,,,,,,
55.0,648.0,3.0,16.082,,,
55.833,668.0,3.1,15.526,,,
56.667,689.0,3.2,15.636,,,
57.5,703.0,3.4,15.613,,,
58.333,730.0,3.6,15.858,,,
59.167,750.0,3.7,15.967,,,
60.0,771.0,3.9,16.056,,,
60.833,792.0,4.1,16.189,,,
61.667,815.0,4.3,16.322,,,
62.5,835.0,4.4,16.387,,,
,,,,,,
,,,,,,
,,,,,,
65.833,926.0,5.3,16.514,,,
66.667,943.0,5.5,16.469,,,
,,,,,,
,,,,,,
,,,,,,
70.0,997.0,6.3,16.39,,,
70.833,1009.0,6.5,16.234,,,
71.667,1022.0,6.7,16.106,,,
,,,,,,
73.333,1049.0,7.1,15.994,,,
74.167,1071.0,7.4,16.038,,,
75.0,1094.0,7.6,16.082,,,
75.833,1118.0,7.8,16.303,,,
76.667,1144.0,8.1,16.279,,,
77.5,1169.0,8.3,16.389,,,
78.333,1196.0,8.5,16.521,,,
79.167,1223.0,8.8,16.653,,,
,,,,,,
80.833,1281.0,9.3,16.785,,,
81.667,1310.0,9.6,16.984,,,
,,,,,,
83.333,1368.0,10.1,17.122,,,
84.167,1398.0,10.4,17.409,,,
85.0,1430.0,10.7,17.82,,,
85.833,1460.0,11.0,18.219,,,
86.667,1490.0,11.2,18.594,,,
87.5,1523.0,11.5,19.027,,,
88.333,1552.0,11.8,19.181,,,
89.167,1582.0,12.0,19.334,,,
90.0,1617.0,12.4,19.578,,,
90.833,1651.0,12.7,19.755,,,
91.667,1685.0,13.0,19.953,,,
92.5,1719.0,13.4,20.108,,,
93.333,1753.0,13.7,20.262,,,
94.167,1788.0,14.0,20.393,,,
