t,v1,h1,a1,v2,h2,a2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3.0,5.0,-0.0,,,,
3.5,5.0,-0.0,,,,
4.0,5.0,-0.0,,,,
,,,,,,
5.0,13.0,-0.0,,,,
5.5,19.0,-0.0,,,,
6.0,26.0,-0.0,,,,
6.5,33.0,0.0,,,,
7.0,40.0,0.0,,,,
7.5,46.0,0.0,,,,
8.0,52.0,0.0,,,,
,,,,,,
9.0,66.0,0.0,,,,
9.5,73.0,0.0,,,,
10.0,82.0,0.0,,,,
10.5,89.0,0.0,,,,
11.0,97.0,0.0,12.817,,,
,,,,,,
,,,,,,
,,,,,,
13.0,128.0,0.1,13.104,,,
13.5,135.0,0.1,13.363,,,
14.0,144.0,0.1,13.697,,,
,,,,,,
,,,,,,
,,,,,,
16.0,177.0,0.2,13.854,,,
,,,,,,
17.0,193.0,0.3,13.928,,,
17.5,201.0,0.3,13.965,,,
,,,,,,
18.5,219.0,0.4,14.039,,,
19.0,228.0,0.4,14.113,,,
19.5,237.0,0.4,14.224,,,
,,,,,,
20.5,253.0,0.5,14.298,,,
21.0,263.0,0.5,14.409,,,
,,,,,,
22.0,281.0,0.6,14.483,,,
,,,,,,
23.0,300.0,0.7,14.501,,,
,,,,,,
,,,,,,
24.5,328.0,0.8,14.587,,,
,,,,,,
,,,,,,
26.0,355.0,1.0,14.624,,,
26.5,365.0,1.0,14.707,,,
27.0,374.0,1.0,14.781,,,
,,,,,,
28.0,394.0,1.2,14.818,,,
28.5,407.0,1.3,14.993,,,
29.0,418.0,1.3,15.104,,,
29.5,429.0,1.4,15.215,,,
30.0,438.0,1.4,15.215,,,
,,,,,,
31.0,458.0,1.6,15.252,,,
31.5,469.0,1.6,15.325,,,
32.0,479.0,1.7,15.399,,,
32.5,490.0,1.8,15.436,,,
33.0,501.0,1.8,15.51,,,
,,,,,,
34.0,522.0,2.0,15.546,,,
34.5,533.0,2.1,15.608,,,
,,,,,,
35.5,556.0,2.2,15.7,,,
36.0,566.0,2.3,15.7,,,
,,,,,,
37.0,587.0,2.4,15.755,,,
37.5,599.0,2.5,15.829,,,
,,,,,,
38.5,623.0,2.7,15.792,,,
39.0,635.0,2.8,15.828,,,
,,,,,,
40.0,658.0,3.0,15.847,,,
40.5,669.0,3.0,15.92,,,
41.0,681.0,3.1,15.994,,,
41.5,693.0,3.2,16.031,,,
42.0,706.0,3.3,16.142,,,
,,,,,,
,,,,,,
43.5,742.0,3.6,16.178,,,
44.0,756.0,3.7,16.289,,,
44.5,769.0,3.9,16.381,,,
45.0,780.0,4.0,16.381,,,
,,,,,,
,,,,,,
46.5,811.0,4.3,16.337,,,
,,,,,,
,,,,,,
48.0,833.0,4.7,16.238,,,
48.5,839.0,4.7,16.071,,,
,,,,,,
,,,,,,
,,,,,,
50.5,864.0,5.2,15.857,,,
51.0,870.0,5.4,15.634,,,
51.5,877.0,5.5,15.448,,,
52.0,883.0,5.6,15.244,,,
,,,,,,
53.0,896.0,5.8,15.077,,,
,,,,,,
54.0,911.0,6.1,14.909,,,
,,,,,,
55.0,929.0,6.3,14.797,,,
,,,,,,
,,,,,,
